guild 886502353543503922 channel 930020923237617694 | DreamCatchers#2440: ひまです。
guild 938313369147035688 channel 938314864210874368 | ちんすこう#0068#0000: なにこれ
guild 938313501615726593 channel 938314822540484618 | ちんすこう#0068#0000: なにこれ
guild 938312619889156186 channel 938314878416986162 | ちんすこう#0068#0000: なにこれ
guild 938313481067831307 channel 938314845567201320 | ちんすこう#0068#0000: なにこれ
guild 938313481067831307 channel 938314845567201320 | soiiiso#9898#0000: 見ればわかるやろ
guild 938312619889156186 channel 938314878416986162 | soiiiso#9898#0000: 見ればわかるやろ
guild 938313501615726593 channel 938314822540484618 | soiiiso#9898#0000: 見ればわかるやろ
guild 938313369147035688 channel 938314864210874368 | soiiiso#9898#0000: 見ればわかるやろ
guild 938313481067831307 channel 938314845567201320 | ちんすこう#0068#0000: Σ(ﾟﾛﾟ;)วﾏｼﾞﾃﾞ!?
guild 938312619889156186 channel 938314878416986162 | ちんすこう#0068#0000: Σ(ﾟﾛﾟ;)วﾏｼﾞﾃﾞ!?
guild 938313369147035688 channel 938314864210874368 | ちんすこう#0068#0000: Σ(ﾟﾛﾟ;)วﾏｼﾞﾃﾞ!?
guild 938313501615726593 channel 938314822540484618 | ちんすこう#0068#0000: Σ(ﾟﾛﾟ;)วﾏｼﾞﾃﾞ!?
guild 938313481067831307 channel 938314845567201320 | ちんすこう#0068#0000: ヤバすぎ
guild 938313369147035688 channel 938314864210874368 | ちんすこう#0068#0000: ヤバすぎ
guild 938313501615726593 channel 938314822540484618 | ちんすこう#0068#0000: ヤバすぎ
guild 938312619889156186 channel 938314878416986162 | ちんすこう#0068#0000: ヤバすぎ
guild 938313481067831307 channel 938314845567201320 | soiiiso#9898#0000: ヤバいよな
guild 938313369147035688 channel 938314864210874368 | soiiiso#9898#0000: ヤバいよな
guild 938313501615726593 channel 938314822540484618 | soiiiso#9898#0000: ヤバいよな
guild 938312619889156186 channel 938314878416986162 | soiiiso#9898#0000: ヤバいよな
guild 886502353543503922 channel 930020923237617694 | Shiumano#9083: %test
guild 886502353543503922 channel 930020923237617694 | グルコース#1063: It works!
guild 886502353543503922 channel 930020923237617694 | Shiumano#9083: よーしよーし
guild 886502353543503922 channel 930020923237617694 | Shiumano#9083: いいこだ
guild 886502353543503922 channel 930020923237617694 | Shiumano#9083: %run return (lambda max, mark=set(): [(i, [mark.add(c*i) for c in range(1,int(max/i)+1)])[0] for i in range(2,max+1) if not i in mark])(100)
guild 886502353543503922 channel 930020923237617694 | グルコース#1063: ```py
Traceback (most recent call last):
  File "/root/discum-self.py", line 22, in run
    ret = func(resp, bot)
NameError: name 'resp' is not defined
```
guild 886502353543503922 channel 930020923237617694 | Shiumano#9083: omg
guild 886502353543503922 channel 930020923237617694 | DreamCatchers#2440: http://www.city.higashimatsuyama.lg.jp/mailhaishin/bosaimusen/1657634113954.html なんかなってるらしい
guild 938313369147035688 channel 938314864210874368 | yuku_#3480#0000: 雷の音凄いと思ったらこれか…
guild 938313501615726593 channel 938314822540484618 | yuku_#3480#0000: 雷の音凄いと思ったらこれか…
guild 938312619889156186 channel 938314878416986162 | yuku_#3480#0000: 雷の音凄いと思ったらこれか…
guild 938313481067831307 channel 938314845567201320 | yuku_#3480#0000: 雷の音凄いと思ったらこれか…
guild 938313501615726593 channel 938314822540484618 | ポッチャマ、#5148#0000: こちら宮城
すごい雨
guild 938313369147035688 channel 938314864210874368 | ポッチャマ、#5148#0000: こちら宮城
すごい雨
guild 938312619889156186 channel 938314878416986162 | ポッチャマ、#5148#0000: こちら宮城
すごい雨
guild 938313481067831307 channel 938314845567201320 | ポッチャマ、#5148#0000: こちら宮城
すごい雨
guild 886502353543503922 channel 930020923237617694 | Shiumano#9083: %run return (lambda max, mark=set(): [(i, [mark.add(c*i) for c in range(1,int(max/i)+1)])[0] for i in range(2,max+1) if not i in mark])(100)
guild 886502353543503922 channel 930020923237617694 | グルコース#1063: [2, 3, 5, 7, 11, 13, 17, 19, 23, 29, 31, 37, 41, 43, 47, 53, 59, 61, 67, 71, 73, 79, 83, 89, 97]
guild 886502353543503922 channel 930020923237617694 | Shiumano#9083: はい完璧ですね
guild 886502353543503922 channel 930020923237617694 | DreamCatchers#2440: clap clap
guild 886502353543503922 channel 930020923237617694 | DreamCatchers#2440: ところでゆーはなぜSelfbotを?
guild 938313481067831307 channel 938314845567201320 | soiiiso#9898#0000: https://twitter.com/e_nexco_kanto/status/1546841816519311361
guild 938313369147035688 channel 938314864210874368 | soiiiso#9898#0000: https://twitter.com/e_nexco_kanto/status/1546841816519311361
guild 938313501615726593 channel 938314822540484618 | soiiiso#9898#0000: https://twitter.com/e_nexco_kanto/status/1546841816519311361
guild 938312619889156186 channel 938314878416986162 | soiiiso#9898#0000: https://twitter.com/e_nexco_kanto/status/1546841816519311361
guild 886502353543503922 channel 930020923237617694 | Shiumano#9083: あると便利だから
guild 886502353543503922 channel 930020923237617694 | DreamCatchers#2440: w
guild 886502353543503922 channel 930020923237617694 | DreamCatchers#2440: 分かるけどw
guild 886502353543503922 channel 930020923237617694 | DreamCatchers#2440: あると何かと便利だよね。
guild 886502353543503922 channel 930020923237617694 | Shiumano#9083: それにさ
guild 886502353543503922 channel 930020923237617694 | Shiumano#9083: たまにGUIフロントエンドを信用できないことあるじゃん
guild 886502353543503922 channel 930020923237617694 | Shiumano#9083: ネット遅いとかで
guild 886502353543503922 channel 930020923237617694 | DreamCatchers#2440: w
guild 886502353543503922 channel 930020923237617694 | Shiumano#9083: そういうときに直接攻撃ができるからね
guild 938313501615726593 channel 938314822540484618 | deleted.jp#4538#0000: 茨城　日中小雨　現在雨無し　微風アリ
guild 938313369147035688 channel 938314864210874368 | deleted.jp#4538#0000: 茨城　日中小雨　現在雨無し　微風アリ
guild 938312619889156186 channel 938314878416986162 | deleted.jp#4538#0000: 茨城　日中小雨　現在雨無し　微風アリ
guild 938313481067831307 channel 938314845567201320 | deleted.jp#4538#0000: 茨城　日中小雨　現在雨無し　微風アリ
guild 938313369147035688 channel 938314864210874368 | deleted.jp#4538#0000: 埼玉民気を付けて
guild 938313481067831307 channel 938314845567201320 | deleted.jp#4538#0000: 埼玉民気を付けて
guild 938313501615726593 channel 938314822540484618 | deleted.jp#4538#0000: 埼玉民気を付けて
guild 938312619889156186 channel 938314878416986162 | deleted.jp#4538#0000: 埼玉民気を付けて
guild 938313501615726593 channel 938314822540484618 | 常磐 香桜里#8399#0000: 愛知　何にも降ってない
guild 938313481067831307 channel 938314845567201320 | 常磐 香桜里#8399#0000: 愛知　何にも降ってない
guild 938313369147035688 channel 938314864210874368 | 常磐 香桜里#8399#0000: 愛知　何にも降ってない
guild 938312619889156186 channel 938314878416986162 | 常磐 香桜里#8399#0000: 愛知　何にも降ってない
guild 938313369147035688 channel 938314864210874368 | deleted.jp#4538#0000: > **東松山市に避難指示、緊急安全確保が発令されました。**
> **落ち着いて行動してください、discordを見てる暇はありません。**
もう逆に安心できる場所（家の高い所とか）でdiscord見て落ち着かないと命に危険が及ぶレベルでは
guild 938312619889156186 channel 938314878416986162 | deleted.jp#4538#0000: > **東松山市に避難指示、緊急安全確保が発令されました。**
> **落ち着いて行動してください、discordを見てる暇はありません。**
もう逆に安心できる場所（家の高い所とか）でdiscord見て落ち着かないと命に危険が及ぶレベルでは
guild 938313501615726593 channel 938314822540484618 | deleted.jp#4538#0000: > **東松山市に避難指示、緊急安全確保が発令されました。**
> **落ち着いて行動してください、discordを見てる暇はありません。**
もう逆に安心できる場所（家の高い所とか）でdiscord見て落ち着かないと命に危険が及ぶレベルでは
guild 886502353543503922 channel 930020923237617694 | trace_v2#1784: <@712641240591499345> こういうのにDDoSしてみるか（）
guild 886502353543503922 channel 930020923237617694 | terest.IA#0921: ？？？
guild 886502353543503922 channel 930020923237617694 | terest.IA#0921: やり方教えて
guild 886502353543503922 channel 930020923237617694 | trace_v2#1784: 草
guild 886502353543503922 channel 930020923237617694 | trace_v2#1784: 暇だったら教える（）
guild 886502353543503922 channel 930020923237617694 | Shiumano#9083: https://discord.com/channels/886502353543503922/939751305923153950/977150780735905862
このプログラムを使うのだ…
guild 886502353543503922 channel 930020923237617694 | Shiumano#9083: 秒間10出た
guild 886502353543503922 channel 930020923237617694 | DreamCatchers#2440: 秒間10って弱くない?
適当にやってももうちょっと出る気がするんだけど。。。
guild 886502353543503922 channel 930020923237617694 | terest.IA#0921: ま、まあ、ありがとうございます、、（）
guild 886502353543503922 channel 930020923237617694 | Shiumano#9083: スマホでBashだからしゃーない
guild 886502353543503922 channel 930020923237617694 | Shiumano#9083: 適当を越えた適当なのさ
guild 931245527809540137 channel 931245527809540140 | DreamCatchers#2440: aaa
guild 886502353543503922 channel 930020923237617694 | DreamCatchers#2440: うちの子頭悪い。。。
存在しないファイルを実行しようとしてたから同じフォルダー内にそのファイル名があるから確認する必要があるって言ってもわからないって言ってる。
guild 938313501615726593 channel 938314822540484618 | じーおんくん(がらくたのすがた)#9561#0000: あと一時間21分
guild 938312619889156186 channel 938314878416986162 | じーおんくん(がらくたのすがた)#9561#0000: あと一時間21分
guild 938313369147035688 channel 938314864210874368 | じーおんくん(がらくたのすがた)#9561#0000: あと一時間21分
guild 938313481067831307 channel 938314845567201320 | じーおんくん(がらくたのすがた)#9561#0000: あと一時間21分
guild 931245399379968030 channel 941120530919096370 | DreamCatchers#2440: おは
guild 931245399379968030 channel 941120530919096370 | DreamCatchers#2440: おは
guild 886502353543503922 channel 930020923237617694 | DreamCatchers#2440: たまには冷たく突き放すのも教育です。
一応ErrorはStacksOverFlowが解決してくれるって教えたから大丈夫なはず、そしてGithubを見れば成長が見れる。
🙂
guild 938313481067831307 channel 938314845567201320 | れん#1230#0000: 33-4
guild 938313369147035688 channel 938314864210874368 | れん#1230#0000: 33-4
guild 938312619889156186 channel 938314878416986162 | れん#1230#0000: 33-4
guild 938313501615726593 channel 938314822540484618 | れん#1230#0000: 33-4
guild 886502353543503922 channel 930020923237617694 | Shiumano#9083: CUI生活させよう
guild 938312619889156186 channel 938314878416986162 | visa21_#9021#0000: なんでや阪神関係ないやろ
guild 938313501615726593 channel 938314822540484618 | visa21_#9021#0000: なんでや阪神関係ないやろ
guild 938313481067831307 channel 938314845567201320 | visa21_#9021#0000: なんでや阪神関係ないやろ
guild 938313369147035688 channel 938314864210874368 | visa21_#9021#0000: なんでや阪神関係ないやろ
guild 886502353543503922 channel 930020923237617694 | Shiumano#9083: CUI生活させよう
guild 886502353543503922 channel 930020923237617694 | Shiumano#9083: CUI生活させよう
guild 886502353543503922 channel 930020923237617694 | Shiumano#9083: CUI生活させよう
guild 886502353543503922 channel 930020923237617694 | Shiumano#9083: CUI生活させよう
guild 938313481067831307 channel 938314845567201320 | Tsukikoh#2161#0000: 3:34をお知らせしろ
guild 938313501615726593 channel 938314822540484618 | Tsukikoh#2161#0000: 3:34をお知らせしろ
guild 938313369147035688 channel 938314864210874368 | Tsukikoh#2161#0000: 3:34をお知らせしろ
guild 938312619889156186 channel 938314878416986162 | Tsukikoh#2161#0000: 3:34をお知らせしろ
guild 886502353543503922 channel 930020923237617694 | Shiumano#9083: 何て言ってたのさ
ちょっと話してみたいわソイツと
guild 938313369147035688 channel 938314864210874368 | れん#1230#0000: あと18分もまてない
guild 938312619889156186 channel 938314878416986162 | れん#1230#0000: あと18分もまてない
guild 938313481067831307 channel 938314845567201320 | れん#1230#0000: あと18分もまてない
guild 938313501615726593 channel 938314822540484618 | れん#1230#0000: あと18分もまてない
guild 938312619889156186 channel 938314878416986162 | じーおんくん(がらくたのすがた)#9561#0000: んんんんんんんｎ
guild 938313481067831307 channel 938314845567201320 | じーおんくん(がらくたのすがた)#9561#0000: んんんんんんんｎ
guild 938313501615726593 channel 938314822540484618 | じーおんくん(がらくたのすがた)#9561#0000: んんんんんんんｎ
guild 938313369147035688 channel 938314864210874368 | じーおんくん(がらくたのすがた)#9561#0000: んんんんんんんｎ
guild 938313369147035688 channel 938314864210874368 | 問題児#4830#0000: 
guild 938313481067831307 channel 938314845567201320 | 問題児#4830#0000: 
guild 938313501615726593 channel 938314822540484618 | 問題児#4830#0000: 
guild 938312619889156186 channel 938314878416986162 | 問題児#4830#0000: 
guild 938313481067831307 channel 938314845567201320 | じーおんくん(がらくたのすがた)#9561#0000: 13貫でフィニッシュ
guild 938313501615726593 channel 938314822540484618 | じーおんくん(がらくたのすがた)#9561#0000: 13貫でフィニッシュ
guild 938313369147035688 channel 938314864210874368 | じーおんくん(がらくたのすがた)#9561#0000: 13貫でフィニッシュ
guild 938312619889156186 channel 938314878416986162 | じーおんくん(がらくたのすがた)#9561#0000: 13貫でフィニッシュ
guild 886502353543503922 channel 930020923237617694 | DreamCatchers#2440: 嫌です、違う人だけどリア友とネットで話してたら間違えて本名で呼んじゃった～って感じで本名呼びされたことあるので。
その人とはもう絶交してやりましたがね、損益しか出さないしフォートナイトのiOS版Bataに招待してもしなかったのに有名になり始めたらやり始めたの一生恨むからなあいつ。
どんだけめんどかったと思ってるんだ4つ分招待コード作るの。
guild 886502353543503922 channel 930020923237617694 | DreamCatchers#2440: あとどんだけCUI推しなんですか一体。
guild 938312619889156186 channel 938314878416986162 | 空条#7692#0000: くるぞ…
guild 938313369147035688 channel 938314864210874368 | 空条#7692#0000: くるぞ…
guild 938313501615726593 channel 938314822540484618 | 空条#7692#0000: くるぞ…
guild 938313501615726593 channel 938314822540484618 | じーおんくん(がらくたのすがた)#9561#0000: ﾏﾀﾞｶﾅ
guild 938312619889156186 channel 938314878416986162 | じーおんくん(がらくたのすがた)#9561#0000: ﾏﾀﾞｶﾅ
guild 938313481067831307 channel 938314845567201320 | じーおんくん(がらくたのすがた)#9561#0000: ﾏﾀﾞｶﾅ
guild 938313369147035688 channel 938314864210874368 | じーおんくん(がらくたのすがた)#9561#0000: ﾏﾀﾞｶﾅ
guild 938313481067831307 channel 938314845567201320 | yuku_#3480#0000: ｻﾞﾜｻﾞﾜ
guild 938313501615726593 channel 938314822540484618 | yuku_#3480#0000: ｻﾞﾜｻﾞﾜ
guild 938312619889156186 channel 938314878416986162 | yuku_#3480#0000: ｻﾞﾜｻﾞﾜ
guild 938313369147035688 channel 938314864210874368 | yuku_#3480#0000: ｻﾞﾜｻﾞﾜ
guild 938312619889156186 channel 938314878416986162 | gytf4352#5589#0000: きた？
guild 938313369147035688 channel 938314864210874368 | gytf4352#5589#0000: きた？
guild 938313481067831307 channel 938314845567201320 | gytf4352#5589#0000: きた？
guild 938313501615726593 channel 938314822540484618 | gytf4352#5589#0000: きた？
guild 938313481067831307 channel 938314845567201320 | じーおんくん(がらくたのすがた)#9561#0000: ｷﾀｰｰｰ(?)
guild 938313501615726593 channel 938314822540484618 | じーおんくん(がらくたのすがた)#9561#0000: ｷﾀｰｰｰ(?)
guild 938312619889156186 channel 938314878416986162 | じーおんくん(がらくたのすがた)#9561#0000: ｷﾀｰｰｰ(?)
guild 938313369147035688 channel 938314864210874368 | じーおんくん(がらくたのすがた)#9561#0000: ｷﾀｰｰｰ(?)
guild 938313369147035688 channel 938314864210874368 | じーおんくん(がらくたのすがた)#9561#0000: ｷﾃﾅｲ
guild 938313481067831307 channel 938314845567201320 | じーおんくん(がらくたのすがた)#9561#0000: ｷﾃﾅｲ
guild 938313501615726593 channel 938314822540484618 | じーおんくん(がらくたのすがた)#9561#0000: ｷﾃﾅｲ
guild 938312619889156186 channel 938314878416986162 | じーおんくん(がらくたのすがた)#9561#0000: ｷﾃﾅｲ
guild 938313481067831307 channel 938314845567201320 | 1919時報担当のayu27#3351#0000: 
guild 938313369147035688 channel 938314864210874368 | 1919時報担当のayu27#3351#0000: 
guild 938313501615726593 channel 938314822540484618 | 1919時報担当のayu27#3351#0000: 
guild 938312619889156186 channel 938314878416986162 | 1919時報担当のayu27#3351#0000: 
guild 938313501615726593 channel 938314822540484618 | yuku_#3480#0000: ｱｯ
guild 938313481067831307 channel 938314845567201320 | yuku_#3480#0000: ｱｯ
guild 938313369147035688 channel 938314864210874368 | yuku_#3480#0000: ｱｯ
guild 938312619889156186 channel 938314878416986162 | yuku_#3480#0000: ｱｯ
guild 938313501615726593 channel 938314822540484618 | 空条#7692#0000: 🧐
guild 938313369147035688 channel 938314864210874368 | 空条#7692#0000: 🧐
guild 938313481067831307 channel 938314845567201320 | 空条#7692#0000: 🧐
guild 938312619889156186 channel 938314878416986162 | 空条#7692#0000: 🧐
guild 938313501615726593 channel 938314822540484618 | gytf4352#5589#0000: きたー
guild 938313369147035688 channel 938314864210874368 | gytf4352#5589#0000: きたー
guild 938312619889156186 channel 938314878416986162 | gytf4352#5589#0000: きたー
guild 938313501615726593 channel 938314822540484618 | gytf4352#5589#0000: 20分()
guild 938313369147035688 channel 938314864210874368 | gytf4352#5589#0000: 20分()
guild 938312619889156186 channel 938314878416986162 | gytf4352#5589#0000: 20分()
guild 938313481067831307 channel 938314845567201320 | ちんすこう#0068#0000: あっ（察
guild 938313369147035688 channel 938314864210874368 | ちんすこう#0068#0000: あっ（察
guild 938312619889156186 channel 938314878416986162 | ちんすこう#0068#0000: あっ（察
guild 938313501615726593 channel 938314822540484618 | ちんすこう#0068#0000: あっ（察
